ID,Actual Name,Tooltip,XX,VVVV,Base Attack Abilities - Motivity,Base Attack Abilities - Technique,Base Attack Abilities - Advance
AC_atk_L2_1,Carcass Butcher’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
I hate blue blood.\nHatred became my strength and purpose and kept me moving.,
Increases damage inflicted on Carcasses,",0B,41435F61746B5F4C325F32,,,
AC_atk_L2_2,Murderer Puppet’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases damage inflicted on humans,
The joy of having killed a human lies dormant within the clockwork heart.\nI will kill. I will kill anything that resembles a human.,",0B,41435F61746B5F4C325F33,,,
AC_atk_L2_3,Puppet Destroyer’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Crush. Crush. Crush.\nThe executioner puppet didn’t know the reason or significance, but carried out his role.,
Increases damage inflicted on puppets,",0B,41435F61746B5F4C325F33,,,
AC_atk_L2_4,Assassin’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases Critical ATK,
They believed the reputation they earned from working behind the scenes in the underworld would be eternal.\nHowever, fame is useless before the gallows.,",0B,41435F61746B5F4C325F34,,,
AC_boss_L1_1,Dancing One’s Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Enables dodging even with low Stamina,
The best parade is never swayed by any obstruction.\nOne must be prepared to make a great effort to put on a magnificent show.,",0C,41435F626F73735F4C315F31,,,
AC_boss_L1_2,Extreme Modification Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases Weapon ATK in proportion to number of Fable slots,
The Scrapped Watchman was an experimental piece modified to the extreme to test how far Krat’s engineering skills could go.\nThe result was impressive but ultimately came at a cost.,",0C,41435F626F73735F4C315F32,,,
AC_boss_L1_3,Ghost Walk Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Fury Attack Dodge available,
The sentries feared the ghostly movements of the Green Monster of the Swamp.\nOne of the sentries miraculously managed to put the monster’s information in an amulet, but he also disappeared.,",0C,41435F626F73735F4C315F33,,,
AC_boss_L1_4,Impregnable Fortress Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
She hoped to become Simon’s sword and perfect shield.\nWhen she was finally complete as Laxasia, she chose to become the iron armor warrior without hesitation.,
Upon a successful Guard, Weapon Durability is not consumed,",0C,41435F626F73735F4C315F34,,,
AC_boss_L1_5,Awakened God’s Amulet,"“When God awakens, he will be like a bird who has just cracked open his shell. He will possess tremendous abilities that can change the world yet be as innocent as a child.”\n- Among Simon Manus’s sayings,
An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Increases Fable Arts damage inflicted on a Staggered enemy,",0C,41435F626F73735F4C315F35,,,
AC_boss_L1_6,Piercing Hatred Amulet,"An amulet that can be equipped on a puppet.\nInformation and memories that are useful for movement can be imprinted on the symbol to draw out special powers.,
Immunity to all attribute status ailments,
It is unknown whether the Nameless puppet had an ego. This is because multiple cores holding concentrated Ergo were used to boost its firepower.\nIf this puppet could feel only one emotion, it would be hatred.,",0C,41435F626F73735F4C315F36,,,
